Batch	Sample	Total_Reads	Retained_Reads	Pct_Retained	Properly_Paired_x	Pct_Properly_Paired	Read	Properly_Paired_y
P2B	101_Montenegro	9336214	5765451	61.8	1174191	25.2	1	1174191
P2C	103_Nantes	11858278	8631379	72.8	2794007	47.1	1	2794007
P2C	104_Rostock	51536822	34250949	66.5	8937774	34.7	1	8937774
P2C	107_Rumaenien_18070a	34080106	21050238	61.8	4322333	25.4	1	4322333
P2C	108_Rumaenien_18070a	25027352	14877871	59.4	2585250	20.7	1	2585250
P2A	10_Bjerremark	3756558	2676113	71.2	846762	45.1	1	846762
P2D	114_Hoeoer	27282864	16666113	61.1	3254947	23.9	1	3254947
P2D	115_Jaervafaeltet	17708658	12161852	68.7	3408711	38.5	1	3408711
P2D	116_Estland_TU_273776	18320940	10830330	59.1	1915320	20.9	1	1915320
P2D	117_Estland_TU_373737	25556600	17083477	66.8	4575141	35.8	1	4575141
P2A	118_Ida_Virunaa	7218182	4185273	58.0	648326	18.0	1	648326
P2A	119_Viljandi	9983088	7020180	70.3	2128276	42.6	1	2128276
P2C	11_Trentino	723690	421210	58.2	81794	22.6	1	81794
P2A	122_Rumaenien_18070a	9395240	6121824	65.2	1504265	32.0	1	1504265
P2A	123_Rumaenien_18065b	8568790	5494433	64.1	1265993	29.5	1	1265993
P2C	124_Rumaenien_18065b	8867430	5661812	63.8	1285396	29.0	1	1285396
P2C	125_Rumaenien_18065b	7901410	4788454	60.6	887350	22.5	1	887350
P2B	131_Snidavka	11176948	7583996	67.9	2060449	36.9	1	2060449
P2B	132_Roztoky	6334442	4028499	63.6	931451	29.4	1	931451
P2B	133_England_G	5393632	3711611	68.8	1058184	39.2	1	1058184
P2B	134_England_H	3435102	2552076	74.3	865630	50.4	1	865630
P2A	14_Ulfstorp	5375544	4007601	74.6	1376969	51.2	1	1376969
P2A	17_Brunnby	4432840	3361304	75.8	1200484	54.2	1	1200484
P2B	22_1_Stehag	8811770	7242868	82.2	2882626	65.4	1	2882626
P2B	22_2_Stehag	6281604	4521109	72.0	1423340	45.3	1	1423340
P2B	22_3_Stehag	6113562	4419944	72.3	1416754	46.3	1	1416754
P2A	22_Stehag	7310658	6378965	87.3	2765626	75.7	1	2765626
P2B	24_Kungsmarken	4681268	3453240	73.8	1150525	49.2	1	1150525
P2C	27_Kastberga_skog	12145262	9338116	76.9	3330565	54.8	1	3330565
P2C	28_Kastberga_aeng	13687538	9683610	70.7	2936079	42.9	1	2936079
P2C	29_Bielefeld	10028064	8290678	82.7	3320599	66.2	1	3320599
P2C	30_Goerlitz	6209112	4422537	71.2	1404373	45.2	1	1404373
P2D	49_Trento_B_hirsuta	11242532	8063935	71.7	2801065	49.8	1	2801065
P2D	50_Dazendorf	11172002	8033577	71.9	2592945	46.4	1	2592945
P2D	51_Seegalendorf	10344520	8137250	78.7	3170123	61.3	1	3170123
P2D	70_Vindeholme	30697256	25062444	81.6	9843134	64.1	1	9843134
P2A	72_Nancy	30337866	18635281	61.4	3710232	24.5	1	3710232
P2A	73_Gomel	20664186	14699757	71.1	4526669	43.8	1	4526669
P2A	74_Pest	86804952	56804715	65.4	14156956	32.6	1	14156956
P2A	76_Trinapolis	44417434	35619552	80.2	13698877	61.7	1	13698877
P2B	77_Kwidzyn	7462306	5736777	76.9	2050907	55.0	1	2050907
P2B	79_Brockadale	10345860	8105098	78.3	2974614	57.5	1	2974614
P2B	80_Maltby	26100682	15293573	58.6	2416769	18.5	1	2416769
