INDV	GROUP	Ho	He	F_vcftools	Fcalc
101_Montenegro.1	Balkan	0.0649874	0.118161	0.45004	0.450011
103_Nantes.1	Western	0.0685297	0.119206	0.42509	0.425116
104_Rostock.1	Central	0.0786726	0.118978	0.33872	0.338765
107_Rumaenien_18070a.1	Balkan	0.0765599	0.12054	0.36486	0.364857
108_Rumaenien_18070a.1	Balkan	0.0807826	0.119344	0.32309	0.323109
10_Bjerremark.1	Central	0.0751362	0.118504	0.36593	0.365959
114_Hoeoer.1	Introduced	0.133239	0.118065	-0.12845	-0.128514
115_Jaervafaeltet.1	Introduced	0.0582524	0.120274	0.51567	0.51567
116_Estland_TU_273776.1	Baltic	0.075023	0.118378	0.36626	0.366241
117_Estland_TU_373737.1	Baltic	0.0763025	0.117681	0.35160	0.351614
118_Ida_Virunaa.1	Baltic	0.0506051	0.111368	0.54561	0.545604
119_Viljandi.1	Baltic	0.0714028	0.117166	0.39062	0.390582
122_Rumaenien_18070a.1	Balkan	0.0821809	0.119949	0.31484	0.314869
123_Rumaenien_18065b.1	Balkan	0.0879571	0.119798	0.26579	0.265789
124_Rumaenien_18065b.1	Balkan	0.0816455	0.120176	0.32061	0.320617
125_Rumaenien_18065b.1	Balkan	0.0749437	0.120248	0.37678	0.376755
131_Snidavka.1	Balkan	0.0736824	0.118967	0.38064	0.380647
132_Roztoky.1	Balkan	0.0834028	0.117381	0.28947	0.28947
133_England_G.1	Western	0.0722479	0.11986	0.39725	0.397229
134_England_H.1	Western	0.0723719	0.118014	0.38671	0.38675
14_Ulfstorp.1	Scandi	0.0550459	0.116981	0.52945	0.529444
17_Brunnby.1	Introduced	0.0809139	0.119673	0.32390	0.323876
22_1_Stehag.1	Scandi	0.067101	0.119919	0.44048	0.440445
22_2_Stehag.1	Scandi	0.0663575	0.119891	0.44651	0.446519
22_3_Stehag.1	Scandi	0.0449968	0.120094	0.62533	0.625321
22_Stehag.1	Scandi	0.0526316	0.120679	0.56390	0.563872
24_Kungsmarken.1	Scandi	0.0863427	0.119977	0.28038	0.280339
27_Kastberga_skog.1	Scandi	0.0591852	0.1201	0.50724	0.5072
28_Kastberga_aeng.1	Scandi	0.060658	0.11938	0.49192	0.49189
29_Bielefeld.1	Central	0.0677607	0.119569	0.43327	0.433294
30_Goerlitz.1	Central	0.0742534	0.119096	0.37650	0.376525
50_Dazendorf.1	Central	0.120433	0.116812	-0.03099	-0.0309992
51_Seegalendorf.1	Central	0.116911	0.112317	-0.04093	-0.0409051
70_Vindeholme.1	Central	0.0761542	0.119895	0.36483	0.364827
72_Nancy.1	Western	0.0894892	0.119423	0.25063	0.250654
73_Gomel.1	Baltic	0.0657539	0.120789	0.45559	0.45563
74_Pest.1	Central	0.0729399	0.121845	0.40137	0.401371
76_Trinapolis.1	Baltic	0.0927852	0.117315	0.20913	0.209096
77_Kwidzyn.1	Central	0.0848051	0.119491	0.29028	0.29028
79_Brockadale.1	Western	0.0764448	0.119148	0.35843	0.358404
80_Maltby.1	Western	0.064147	0.118516	0.45873	0.458748
